date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
193801,0.062400000000000004,0.1077,0.0271,0.0267,0.0378,0.0296,0.0268,-0.0804,0.063,0.041100000000000005,0.024900000000000002,0.0518
193802,0.043899999999999995,0.042800000000000005,0.08720000000000001,0.061900000000000004,0.086,0.1035,0.0236,0.07110000000000001,0.0435,0.0524,0.0429,0.0433
193803,-0.24,-0.3276,-0.3056,-0.2932,-0.2589,-0.30350000000000005,-0.2309,-0.2721,-0.2681,-0.16440000000000002,-0.2404,-0.33170000000000005
193804,0.17070000000000002,0.2186,0.23170000000000002,0.20079999999999998,0.1618,0.22530000000000003,0.1605,0.21850000000000003,0.1932,0.1363,0.1807,0.22390000000000002
193805,-0.048600000000000004,-0.12490000000000001,-0.0922,-0.0902,-0.059000000000000004,-0.0677,-0.0086,0.0252,-0.055400000000000005,-0.024,-0.0743,-0.0599
193806,0.2345,0.40280000000000005,0.38680000000000003,0.28550000000000003,0.31579999999999997,0.3448,0.1996,0.2377,0.302,0.1543,0.29660000000000003,0.27190000000000003
193807,0.1247,0.19640000000000002,0.1045,0.1165,0.11220000000000001,0.1389,0.0755,0.0106,0.1487,0.0646,0.0724,0.1493
193808,-0.0639,-0.0202,-0.048499999999999995,-0.10160000000000001,-0.0541,-0.039700000000000006,-0.0534,-0.0889,-0.057999999999999996,-0.0278,-0.0816,-0.0981
193809,-0.0234,-0.0108,-0.009000000000000001,-0.0141,-0.0067,-0.0088,-0.0275,0.013000000000000001,-0.0111,-0.0187,-0.008199999999999999,-0.030600000000000002
193810,0.10960000000000002,0.17989999999999998,0.1697,0.0681,0.1218,0.14730000000000001,0.013500000000000002,0.28550000000000003,0.1376,0.09670000000000001,0.1344,0.15539999999999998
193811,-0.0362,-0.058300000000000005,-0.0198,-0.025400000000000002,-0.0128,-0.0495,-0.011000000000000001,-0.10300000000000001,-0.0099,0.015,-0.0552,-0.0713
193812,-0.0039000000000000003,0.001,0.0625,0.0055000000000000005,0.035,0.0663,0.0032,0.036000000000000004,0.0027,-0.002,0.0197,0.0425
193901,-0.046900000000000004,-0.0945,-0.1085,-0.08109999999999999,-0.0709,-0.09380000000000001,-0.0262,-0.015300000000000001,-0.034,-0.0545,-0.08320000000000001,-0.0776
193902,0.0392,0.054900000000000004,0.0403,0.0068000000000000005,0.0278,0.0352,0.031200000000000002,0.0935,0.0613,0.049100000000000005,0.0189,0.0424
193903,-0.1204,-0.2209,-0.2205,-0.1429,-0.14800000000000002,-0.2027,-0.056900000000000006,-0.1816,-0.1386,-0.0819,-0.11,-0.1882
193904,0.0163,0.0039000000000000003,-0.006600000000000001,0.0034999999999999996,0.0064,0.0003,0.0349,0.026000000000000002,0.0037,-0.0023,-0.0281,-0.0144
193905,0.0611,0.077,0.0981,0.0513,0.0926,0.1052,0.138,0.10039999999999999,0.1438,0.061399999999999996,0.0742,0.063
193906,-0.0513,-0.1133,-0.1086,-0.0589,-0.0518,-0.1198,-0.0791,-0.0766,-0.0442,-0.0302,-0.1023,-0.1101
193907,0.10289999999999999,0.18760000000000002,0.1766,0.0542,0.1225,0.1786,0.1605,0.17870000000000003,0.10039999999999999,0.08220000000000001,0.12869999999999998,0.1247
193908,-0.0885,-0.12490000000000001,-0.1218,-0.0625,-0.0788,-0.1267,-0.0751,-0.08410000000000001,-0.11130000000000001,-0.1038,-0.0852,-0.1229
193909,0.35450000000000004,0.3872,0.43729999999999997,0.7154,0.28140000000000004,0.2302,0.0703,0.09550000000000002,0.13369999999999999,0.14880000000000002,0.2766,0.6507
193910,-0.0047,0.0085,-0.0087,-0.0576,-0.0206,-0.011899999999999999,0.0499,0.0004,0.06269999999999999,0.028700000000000003,-0.029700000000000004,-0.038
193911,-0.0547,-0.0732,-0.0984,-0.1366,-0.0553,-0.054900000000000004,0.010900000000000002,-0.059800000000000006,-0.0452,-0.0333,-0.041299999999999996,-0.1244
193912,0.0298,0.0191,0.0369,-0.0078000000000000005,0.048,0.0084,0.060300000000000006,0.008100000000000001,-0.0111,0.0039000000000000003,-0.020800000000000003,-0.011000000000000001
194001,0.0128,-0.0203,-0.0504,-0.015600000000000001,-0.0139,-0.0123,-0.0147,-0.039700000000000006,-0.010700000000000001,-0.0113,0.015500000000000002,-0.012700000000000001
194002,0.0461,0.041100000000000005,0.0355,0.013999999999999999,0.025,0.0221,0.04650000000000001,-0.0207,0.0373,0.0154,0.0054,0.0172
194003,-0.0029,0.0533,0.0166,0.01,0.0352,0.0506,0.028700000000000003,0.0579,0.063,0.0488,0.0361,0.0342
194004,0.0315,-0.0044,0.026600000000000002,0.0384,-0.001,0.0004,-0.015600000000000001,-0.0353,-0.0017000000000000001,0.017,-0.020800000000000003,0.0051
194005,-0.26940000000000003,-0.2867,-0.27,-0.27690000000000003,-0.2614,-0.2407,-0.24370000000000003,-0.2544,-0.2758,-0.2237,-0.24710000000000001,-0.2874
194006,0.048600000000000004,0.0805,0.0526,0.0742,0.060700000000000004,0.0425,0.09480000000000001,0.303,0.0797,0.0369,0.0743,0.0602
